date,temperature
2015-07-25 13:22:59,27.5
2015-07-25 13:23:00,27.5
2015-07-25 13:31:57,27.6
2015-07-25 13:40:55,27.6
2015-07-25 13:40:56,27.6
2015-07-25 13:49:53,27.6
2015-07-25 13:58:51,27.6
2015-07-25 13:58:51,27.6
2015-07-25 14:07:49,27.6
2015-07-25 14:16:47,27.6
2015-07-25 14:16:47,27.6
2015-07-25 14:25:45,27.6
2015-07-25 14:34:43,27.6
2015-07-25 14:34:43,27.6
2015-07-25 14:43:41,27.7
2015-07-25 14:52:39,27.7
2015-07-25 14:52:39,27.7
2015-07-25 15:01:37,27.7
2015-07-25 15:10:35,27.8
2015-07-25 15:10:35,27.8
2015-07-25 15:19:33,27.8
2015-07-25 15:28:31,27.8
2015-07-25 15:28:31,27.8
2015-07-25 15:37:29,27.8
2015-07-25 15:46:27,27.8
2015-07-25 15:46:27,27.8
2015-07-25 15:55:25,27.8
2015-07-25 16:04:23,27.9
2015-07-25 16:04:23,27.9
2015-07-25 16:13:21,27.9
2015-07-25 16:22:19,27.9
2015-07-25 16:22:19,27.9
2015-07-25 16:31:17,27.9
2015-07-25 16:40:15,27.9
2015-07-25 16:40:15,27.9
2015-07-25 16:49:13,27.9
2015-07-25 16:58:11,27.9
2015-07-25 16:58:11,27.9
2015-07-25 17:07:09,27.9
2015-07-25 17:16:07,28.0
2015-07-25 17:16:07,28.0
2015-07-25 17:25:05,28.0
2015-07-25 17:34:03,28.0
2015-07-25 17:34:03,28.0
2015-07-25 17:43:01,28.0
2015-07-25 17:51:59,28.0
2015-07-25 17:51:59,28.0
2015-07-25 18:00:57,28.0
2015-07-25 18:09:54,28.0
2015-07-25 18:09:55,28.0
2015-07-25 18:18:53,28.0
2015-07-25 18:27:50,28.0
2015-07-25 18:27:51,28.0
2015-07-25 18:36:49,28.0
2015-07-25 18:45:46,28.0
2015-07-25 18:45:47,28.0
2015-07-25 18:54:45,28.0
2015-07-25 19:03:42,28.0
2015-07-25 19:03:43,28.0
2015-07-25 19:12:41,28.0
2015-07-25 19:21:38,28.0
2015-07-25 19:21:39,28.0
2015-07-25 19:30:37,28.0
2015-07-25 19:39:34,28.0
2015-07-25 19:39:35,28.0
2015-07-25 19:48:33,28.0
2015-07-25 19:57:30,28.0
2015-07-25 19:57:31,28.0
2015-07-25 20:06:29,28.0
2015-07-25 20:15:26,28.0
2015-07-25 20:15:27,28.0
2015-07-25 20:24:24,28.0
2015-07-25 20:33:22,28.0
2015-07-25 20:33:23,28.0
2015-07-25 20:42:20,27.9
2015-07-25 20:51:18,27.9
2015-07-25 20:51:19,27.9
2015-07-25 21:00:16,27.9
2015-07-25 21:09:14,27.9
2015-07-25 21:09:15,27.9
2015-07-25 21:18:12,27.9
2015-07-25 21:27:10,27.9
2015-07-25 21:27:11,27.9
2015-07-25 21:36:08,27.9
2015-07-25 21:45:06,27.9
2015-07-25 21:45:07,27.9
2015-07-25 21:54:04,27.9
2015-07-25 22:03:02,27.9
2015-07-25 22:03:03,27.9
2015-07-25 22:12:00,27.9
2015-07-25 22:20:58,27.9
2015-07-25 22:20:59,27.9
2015-07-25 22:29:56,27.8
2015-07-25 22:38:54,27.8
2015-07-25 22:38:55,27.8
2015-07-25 22:47:52,27.8
2015-07-25 22:56:50,27.8
2015-07-25 22:56:50,27.8
2015-07-25 23:05:48,27.8
2015-07-25 23:14:46,27.8
2015-07-25 23:14:46,27.8
2015-07-25 23:23:44,27.8
2015-07-25 23:32:42,27.8
2015-07-25 23:32:42,27.8
2015-07-25 23:41:40,27.8
2015-07-25 23:50:38,27.8
2015-07-25 23:50:38,27.8
2015-07-25 23:59:36,27.8
2015-07-26 00:08:34,27.8
2015-07-26 00:08:34,27.8
2015-07-26 00:17:32,27.8
2015-07-26 00:26:30,27.8
2015-07-26 00:26:30,27.8
2015-07-26 00:35:28,27.8
2015-07-26 00:44:26,27.8
2015-07-26 00:44:26,27.8
2015-07-26 00:53:24,27.8
2015-07-26 01:02:22,27.8
2015-07-26 01:02:22,27.8
2015-07-26 01:11:20,27.7
2015-07-26 01:20:18,27.7
2015-07-26 01:20:18,27.7
2015-07-26 01:29:16,27.7
2015-07-26 01:38:14,27.7
2015-07-26 01:38:14,27.7
2015-07-26 01:47:12,27.7
2015-07-26 01:56:10,27.7
2015-07-26 01:56:10,27.7
2015-07-26 02:05:08,27.7
2015-07-26 02:14:06,27.7
2015-07-26 02:14:06,27.7
2015-07-26 02:23:04,27.6
2015-07-26 02:32:02,27.6
2015-07-26 02:32:02,27.6
2015-07-26 02:41:00,27.6
2015-07-26 02:49:58,27.6
2015-07-26 02:49:58,27.6
2015-07-26 02:58:56,27.6
2015-07-26 03:07:53,27.6
2015-07-26 03:07:54,27.6
2015-07-26 03:16:52,27.6
2015-07-26 03:25:49,27.6
2015-07-26 03:25:50,27.6
2015-07-26 03:34:48,27.6
2015-07-26 03:43:45,27.6
2015-07-26 03:43:46,27.6
2015-07-26 03:52:44,27.6
2015-07-26 04:01:41,27.6
2015-07-26 04:01:42,27.6
2015-07-26 04:10:40,27.6
2015-07-26 04:19:37,27.6
2015-07-26 04:19:38,27.6
2015-07-26 04:28:36,27.6
2015-07-26 04:37:33,27.6
2015-07-26 04:37:34,27.6
2015-07-26 04:46:32,27.6
2015-07-26 04:55:29,27.5
2015-07-26 04:55:30,27.5
2015-07-26 05:04:28,27.5
2015-07-26 05:13:25,27.5
2015-07-26 05:13:26,27.5
2015-07-26 05:22:23,27.5
2015-07-26 05:31:21,27.5
2015-07-26 05:31:22,27.5
2015-07-26 05:40:19,27.5
2015-07-26 05:49:17,27.5
2015-07-26 05:49:18,27.5
2015-07-26 05:58:15,27.5
2015-07-26 06:07:13,27.5
2015-07-26 06:07:14,27.5
2015-07-26 06:16:11,27.5
2015-07-26 06:25:09,27.5
2015-07-26 06:25:10,27.5
2015-07-26 06:34:07,27.5
2015-07-26 06:43:05,27.5
2015-07-26 06:43:06,27.5
2015-07-26 06:52:03,27.5
2015-07-26 07:01:01,27.5
2015-07-26 07:01:02,27.5
2015-07-26 07:09:59,27.5
2015-07-26 07:18:57,27.6
2015-07-26 07:18:58,27.6
2015-07-26 07:27:55,27.6
2015-07-26 07:36:53,27.7
2015-07-26 07:36:53,27.7
